ID,PREDICTION,TARGET
1,0.0286046378314,0
3,0.0147210452706,0
4,0.00269881705754,0
8,0.0242836866528,0
10,0.00681287236512,0
13,0.0125501034781,0
14,0.0245127864182,0
18,0.0115177854896,0
20,0.193704858422,0
23,0.009212247096,0
25,0.0190432295203,0
26,0.0425394885242,0
29,0.0297799576074,0
31,0.00309446663596,0
32,0.0271209441125,0
34,0.0311151146889,0
36,0.139287009835,0
39,0.00693012122065,0
42,0.00829909648746,0
43,0.0197692811489,0
45,0.0142125915736,0
49,0.032356929034,0
51,0.0733390301466,0
54,0.0488476231694,0
56,0.192124962807,0
60,0.0212741419673,0
61,0.0128402179107,0
66,0.0603401474655,0
68,0.00754867959768,0
74,0.00321226799861,0
75,0.0130842337385,0
77,0.224495694041,1
80,0.0300113558769,0
82,0.00997626315802,0
83,0.0584937557578,0
84,0.0135869896039,0
87,0.245559886098,0
88,0.0750337913632,0
90,0.00163013639394,0
91,0.00630266126245,0
92,0.154968842864,0
93,0.00241159251891,0
95,0.0085179163143,0
101,0.00919902324677,0
102,0.0537141151726,0
105,0.0125304115936,0
106,0.00515180174261,0
107,0.00505141401663,0
109,0.00386733841151,0
111,0.0838143900037,0
113,0.00580858299509,0
115,0.00191334460396,0
118,0.163222908974,0
122,0.0034828109201,0
125,0.0183552522212,0
127,0.00238691922277,0
130,0.0853537619114,0
131,0.0195816252381,0
132,0.0198034197092,0
134,0.00416268920526,0
135,0.00824357103556,0
136,0.0163459982723,0
137,0.0238303355873,0
139,0.0210772678256,0
140,0.00903367251158,0
141,0.196708589792,0
142,0.0275665149093,0
143,0.00214680214413,0
144,0.00753202382475,0
145,0.0519021712244,0
146,0.00138149876148,0
148,0.0357994399965,0
150,0.0751942917705,0
151,0.00706942006946,0
152,0.00745519297197,0
153,0.00416226498783,0
154,0.153447791934,0
155,0.00369397294708,0
156,0.00247980142012,0
157,0.00276655843481,0
159,0.0848520100117,1
161,0.00727977324277,0
162,0.0429597273469,0
163,0.00262899836525,0
165,0.00324532855302,0
166,0.00775000965223,0
169,0.0155043033883,0
170,0.00387881603092,0
171,0.0956570506096,0
172,0.0477978475392,0
173,0.00344815710559,0
175,0.00396726187319,0
176,0.0131870899349,0
177,0.0155871603638,0
178,0.00187482067849,0
179,0.00992609001696,0
180,0.00316519639455,0
